prolific_id,urn,vaccination,education,manipulation_check,condition,time_taken,age,gender,age_cat,comprehension,urn_error,vacc_error
5ea2db31f5c6d720f25f0697,66,20,A-level (or equivalent),NA,no_res,196.579,62,Male,55-64,1,4,6.082617691591157
5cb33bd1cdcbe900188bae80,70,11,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,184.311,64,Female,55-64,1,0,2.9173823084088433
5d59d45948766d0018949d58,70,10,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,279.486,45,Male,45-54,1,0,3.9173823084088433
5c927effc719fc00157df08d,51,14,"Undergraduate degree (e.g., BA)",NA,no_res,89.215,46,Female,45-54,1,19,0.08261769159115673
5ca7050c6fa13f00199cc2d4,70,11,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,141.83,33,Male,25-34,1,0,2.9173823084088433
5b161c96d282ff00015c4bb6,10,11,"Undergraduate degree (e.g., BA)",NA,no_res,275.097,39,Female,35-44,1,60,2.9173823084088433
5fa5465e9b7bd322fa6ec5b6,70,15,A-level (or equivalent),NA,no_res,102.985,19,Female,18-24,1,0,1.0826176915911567
5ff72639760d2b358ecf0117,70,6,"Undergraduate degree (e.g., BA)",NA,no_res,105.237,25,Female,25-34,1,0,7.917382308408843
5fa553f1cfc36925e4665959,70,12,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,146.134,43,Female,35-44,1,0,1.9173823084088433
5c8265b52263490001c7f9ba,70,11,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,112.745,32,Male,25-34,1,0,2.9173823084088433
5d0bde99db71b30001d3b348,70,11,"Undergraduate degree (e.g., BA)",NA,no_res,167.441,54,Male,45-54,1,0,2.9173823084088433
596275bf0b835400010a75e6,62,10,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,113.56,33,Female,25-34,1,8,3.9173823084088433
5f55412fd750e2106f8796e5,70,60,A-level (or equivalent),NA,no_res,240.257,43,Female,35-44,1,0,46.08261769159115
5c1a9e662e3e4200018d9ff6,70,22,"Undergraduate degree (e.g., BA)",NA,no_res,191.006,21,Female,18-24,1,0,8.082617691591157
5b17f44b2767e20001e4c659,70,14,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,89.381,38,Female,35-44,1,0,0.08261769159115673
5c30bae126d1c6000195f249,70,10,"Undergraduate degree (e.g., BA)",NA,no_res,178.162,39,Male,35-44,1,0,3.9173823084088433
590a581797e13f0001f50f6d,34,13,GCSE (or equivalent),NA,no_res,143.506,46,Female,45-54,1,36,0.9173823084088433
5e25e96fd9ab6083b581ed08,70,10,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,113.214,22,Female,18-24,1,0,3.9173823084088433
5ea483b72e133e04610019d5,70,15,"Postgraduate degree (e.g., MA, MSc, PhD)",NA,no_res,95.352,39,Not disclosed,35-44,1,0,1.0826176915911567
5fcfa3168335430d143b4431,72,73,A-level (or equivalent),NA,no_res,60.713,18,Female,18-24,1,2,59.08261769159115
5e7e4493193c19501b2c5da3,70,11,A-level (or equivalent),NA,no_res,161.276,22,Female,18-24,1,0,2.9173823084088433
5fda8594f243d46f950f371f,75,16,"Undergraduate degree (e.g., BA)",NA,no_res,322.742,37,Female,35-44,1,5,2.0826176915911567
5ff7449a4368b83ba0f17e77,70,12,"Undergraduate degree (e.g., BA)",NA,no_res,200.736,22,Female,18-24,1,0,1.9173823084088433
5cd942fdcc98b20019852b50,70,10,A-level (or equivalent),NA,no_res,221.617,55,Female,55-64,1,0,3.9173823084088433
5fe4cacbcb769728345eebe1,70,20,"Undergraduate degree (e.g., BA)",NA,no_res,122.921,30,Male,25-34,1,0,6.082617691591157
5ee371f223d575047be7cec6,21,11,A-level (or equivalent),NA,no_res,82.103,40,Female,35-44,1,49,2.9173823084088433
5f50d4f8d31b8425603d6ca5,70,88,"Undergraduate degree (e.g., BA)",NA,no_res,201.218,37,Male,35-44,1,0,74.08261769159115
57bdba0770808a00012d9810,50,16,GCSE (or equivalent),NA,no_res,220.172,66,Female,65 and over,1,20,2.0826176915911567
5f73e4b14e46cf0377e62cc7,70,9,"Undergraduate degree (e.g., BA)",NA,no_res,85.447,30,Female,25-34,1,0,4.917382308408843
5e5fa18acf9c042ddcb82a8a,70,9,GCSE (or equivalent),NA,no_res,148.284,53,Male,45-54,1,0,4.917382308408843
5fd7772607bd7085d6397ff,70,12,GCSE (or equivalent),NA,no_res,NA,NA,Not disclosed,Not disclosed,1,0,1.9173823084088433
5e9b60ab511e7a0650994050,70,10,A-level (or equivalent),NA,no_res,140.62,41,Male,35-44,1,0,3.9173823084088433
5ecea37d696fdd2805f09bbc,50,16,A-level (or equivalent),NA,no_res,100.053,31,Female,25-34,1,20,2.0826176915911567
5f204db86a1b2a30a723f56c,70,11,"Undergraduate degree (e.g., BA)",NA,no_res,125.494,24,Female,18-24,1,0,2.9173823084088433
5cf7b753d5478e0001da744d,70,16,"Undergraduate degree (e.g., BA)",NA,no_res,125.498,28,Female,25-34,1,0,2.0826176915911567
